open,high,low,close,volume,date
115.09,115.2,114.57,115.07,124699,2025-05-19 09:15:00+05:30
115.08,115.34,115.02,115.1,197180,2025-05-19 09:16:00+05:30
115.15,115.2,115.06,115.2,59688,2025-05-19 09:17:00+05:30
115.2,115.3,115.1,115.29,48853,2025-05-19 09:18:00+05:30
115.29,115.35,115.15,115.35,76371,2025-05-19 09:19:00+05:30
115.39,115.56,115.23,115.23,146831,2025-05-19 09:20:00+05:30
115.16,115.31,115.1,115.31,39440,2025-05-19 09:21:00+05:30
115.31,115.5,115.3,115.45,73844,2025-05-19 09:22:00+05:30
115.46,115.5,115.31,115.39,27502,2025-05-19 09:23:00+05:30
115.41,115.54,115.41,115.47,142852,2025-05-19 09:24:00+05:30
115.47,115.72,115.47,115.56,158584,2025-05-19 09:25:00+05:30
115.55,115.67,115.52,115.6,40735,2025-05-19 09:26:00+05:30
115.6,115.65,115.53,115.6,19359,2025-05-19 09:27:00+05:30
115.6,115.6,115.51,115.54,30579,2025-05-19 09:28:00+05:30
115.54,115.6,115.4,115.58,46659,2025-05-19 09:29:00+05:30
115.68,116.2,115.68,116.01,194190,2025-05-19 09:30:00+05:30
116.02,116.16,116.02,116.12,44489,2025-05-19 09:31:00+05:30
116.13,116.25,116.05,116.05,128655,2025-05-19 09:32:00+05:30
116.09,116.26,115.98,116.25,173302,2025-05-19 09:33:00+05:30
116.2,116.35,116.13,116.23,169774,2025-05-19 09:34:00+05:30
116.25,116.44,116.1,116.1,113592,2025-05-19 09:35:00+05:30
116.15,116.18,115.82,115.89,196086,2025-05-19 09:36:00+05:30
115.95,115.96,115.82,115.82,38800,2025-05-19 09:37:00+05:30
115.84,115.84,115.37,115.42,130338,2025-05-19 09:38:00+05:30
115.47,115.49,115.33,115.38,65521,2025-05-19 09:39:00+05:30
115.4,115.41,115.09,115.29,209924,2025-05-19 09:40:00+05:30
115.29,115.38,115.15,115.38,77761,2025-05-19 09:41:00+05:30
115.38,115.5,115.32,115.44,35821,2025-05-19 09:42:00+05:30
115.44,115.68,115.44,115.67,30326,2025-05-19 09:43:00+05:30
115.75,115.76,115.61,115.67,17261,2025-05-19 09:44:00+05:30
115.7,115.73,115.5,115.73,28559,2025-05-19 09:45:00+05:30
115.72,115.75,115.65,115.7,16329,2025-05-19 09:46:00+05:30
115.73,115.96,115.73,115.93,23401,2025-05-19 09:47:00+05:30
115.93,115.96,115.8,115.83,15918,2025-05-19 09:48:00+05:30
115.87,115.94,115.83,115.88,17873,2025-05-19 09:49:00+05:30
115.89,115.94,115.83,115.83,20163,2025-05-19 09:50:00+05:30
115.89,115.93,115.85,115.93,11674,2025-05-19 09:51:00+05:30
115.84,115.91,115.81,115.88,11217,2025-05-19 09:52:00+05:30
115.88,115.89,115.71,115.71,10189,2025-05-19 09:53:00+05:30
115.77,115.8,115.75,115.8,10084,2025-05-19 09:54:00+05:30
115.76,115.81,115.71,115.73,11386,2025-05-19 09:55:00+05:30
115.75,115.81,115.75,115.8,12017,2025-05-19 09:56:00+05:30
115.8,115.8,115.78,115.78,7241,2025-05-19 09:57:00+05:30
115.8,115.85,115.8,115.8,14094,2025-05-19 09:58:00+05:30
