open,high,low,close,volume,date
792.1,794.05,792.1,792.6,269770,2025-05-19 09:15:00+05:30
792.6,794.95,792.6,794.2,92557,2025-05-19 09:16:00+05:30
794.2,796.0,793.85,796.0,100661,2025-05-19 09:17:00+05:30
796.0,796.45,795.5,796.2,158952,2025-05-19 09:18:00+05:30
795.95,796.15,795.1,796.0,64413,2025-05-19 09:19:00+05:30
795.65,797.0,794.95,795.35,122589,2025-05-19 09:20:00+05:30
795.15,795.9,795.0,795.6,56617,2025-05-19 09:21:00+05:30
795.6,795.95,795.0,795.35,46726,2025-05-19 09:22:00+05:30
795.1,795.45,794.6,795.2,50231,2025-05-19 09:23:00+05:30
795.2,797.6,794.75,796.8,165785,2025-05-19 09:24:00+05:30
796.55,796.9,795.25,795.5,59917,2025-05-19 09:25:00+05:30
795.5,795.75,794.75,795.3,49096,2025-05-19 09:26:00+05:30
795.3,795.75,795.0,795.25,29385,2025-05-19 09:27:00+05:30
794.95,795.45,794.7,794.85,30662,2025-05-19 09:28:00+05:30
794.85,795.0,794.7,794.9,30750,2025-05-19 09:29:00+05:30
795.05,796.55,795.05,796.4,39774,2025-05-19 09:30:00+05:30
796.5,797.5,796.4,797.4,61483,2025-05-19 09:31:00+05:30
797.2,797.2,796.35,796.5,46898,2025-05-19 09:32:00+05:30
796.5,796.6,795.5,795.65,21598,2025-05-19 09:33:00+05:30
795.95,796.0,795.55,795.95,14253,2025-05-19 09:34:00+05:30
795.75,796.0,795.5,795.75,8325,2025-05-19 09:35:00+05:30
795.4,795.8,794.8,795.8,38455,2025-05-19 09:36:00+05:30
795.5,796.0,795.2,795.5,14864,2025-05-19 09:37:00+05:30
795.2,795.5,794.4,794.5,31894,2025-05-19 09:38:00+05:30
794.45,794.75,793.65,793.85,48500,2025-05-19 09:39:00+05:30
793.85,794.0,793.35,794.0,26200,2025-05-19 09:40:00+05:30
793.85,794.4,793.75,794.2,19179,2025-05-19 09:41:00+05:30
794.2,794.95,794.1,794.95,14492,2025-05-19 09:42:00+05:30
794.75,795.8,794.75,795.75,20219,2025-05-19 09:43:00+05:30
795.5,795.75,795.0,795.65,16834,2025-05-19 09:44:00+05:30
795.55,795.9,795.0,795.1,14797,2025-05-19 09:45:00+05:30
795.15,795.3,794.65,795.0,18645,2025-05-19 09:46:00+05:30
794.8,795.5,794.8,795.45,18171,2025-05-19 09:47:00+05:30
795.6,795.65,795.05,795.35,8789,2025-05-19 09:48:00+05:30
795.6,795.6,795.15,795.2,9321,2025-05-19 09:49:00+05:30
795.25,795.6,795.15,795.5,5561,2025-05-19 09:50:00+05:30
795.35,795.5,795.1,795.2,5853,2025-05-19 09:51:00+05:30
795.1,795.4,794.85,794.95,36556,2025-05-19 09:52:00+05:30
794.7,795.0,794.55,795.0,10159,2025-05-19 09:53:00+05:30
795.0,795.3,794.7,795.3,8340,2025-05-19 09:54:00+05:30
795.05,795.25,794.7,794.95,10046,2025-05-19 09:55:00+05:30
794.8,795.0,794.5,794.55,7037,2025-05-19 09:56:00+05:30
794.5,794.8,794.3,794.7,15014,2025-05-19 09:57:00+05:30
794.5,794.85,794.4,794.5,4514,2025-05-19 09:58:00+05:30
794.45,794.9,794.4,794.8,3878,2025-05-19 09:59:00+05:30
795.0,795.0,794.6,794.9,9757,2025-05-19 10:00:00+05:30
794.65,795.0,794.55,795.0,5083,2025-05-19 10:01:00+05:30
794.8,795.45,794.65,795.1,16009,2025-05-19 10:02:00+05:30
795.5,795.8,795.15,795.8,11830,2025-05-19 10:03:00+05:30
795.75,795.8,795.5,795.75,8556,2025-05-19 10:04:00+05:30
795.75,795.9,795.7,795.8,16927,2025-05-19 10:05:00+05:30
795.75,795.9,795.5,795.9,5335,2025-05-19 10:06:00+05:30
795.9,796.0,795.7,796.0,8237,2025-05-19 10:07:00+05:30
796.0,796.35,795.95,796.25,42832,2025-05-19 10:08:00+05:30
796.15,796.45,796.0,796.4,18384,2025-05-19 10:09:00+05:30
796.4,796.5,796.0,796.0,16630,2025-05-19 10:10:00+05:30
795.9,795.9,795.5,795.75,10831,2025-05-19 10:11:00+05:30
795.7,795.8,795.2,795.3,16976,2025-05-19 10:12:00+05:30
795.3,795.75,795.3,795.7,11700,2025-05-19 10:13:00+05:30
796.35,796.35,796.0,796.15,12606,2025-05-19 10:14:00+05:30
796.0,796.3,796.0,796.2,10844,2025-05-19 10:15:00+05:30
796.1,796.55,796.0,796.35,33454,2025-05-19 10:16:00+05:30
796.35,797.2,796.35,796.65,73880,2025-05-19 10:17:00+05:30
796.55,796.95,796.45,796.65,10927,2025-05-19 10:18:00+05:30
796.95,796.95,796.5,796.75,13942,2025-05-19 10:19:00+05:30
796.5,796.75,796.0,796.55,17968,2025-05-19 10:20:00+05:30
796.5,799.0,796.5,798.95,395258,2025-05-19 10:21:00+05:30
798.8,799.7,798.4,798.5,132394,2025-05-19 10:22:00+05:30
798.45,799.3,798.45,799.0,42141,2025-05-19 10:23:00+05:30
799.05,799.8,798.75,799.55,77576,2025-05-19 10:24:00+05:30
799.8,801.0,799.25,799.3,316942,2025-05-19 10:25:00+05:30
799.3,799.65,798.25,798.6,35872,2025-05-19 10:26:00+05:30
798.5,798.6,797.55,798.0,40307,2025-05-19 10:27:00+05:30
797.95,798.0,797.5,797.9,16521,2025-05-19 10:28:00+05:30
797.75,798.0,797.55,797.7,15550,2025-05-19 10:29:00+05:30
797.65,797.85,796.8,797.15,54698,2025-05-19 10:30:00+05:30
797.0,797.55,797.0,797.5,14101,2025-05-19 10:31:00+05:30
797.3,797.75,797.25,797.6,19420,2025-05-19 10:32:00+05:30
797.45,798.75,797.35,798.3,19576,2025-05-19 10:33:00+05:30
798.5,798.5,797.95,797.95,19780,2025-05-19 10:34:00+05:30
797.75,798.2,797.5,798.1,12844,2025-05-19 10:35:00+05:30
798.4,798.9,798.1,798.85,11597,2025-05-19 10:36:00+05:30
798.55,798.9,798.4,798.6,10916,2025-05-19 10:37:00+05:30
798.85,798.85,798.0,798.0,19838,2025-05-19 10:38:00+05:30
798.1,798.25,797.55,797.85,9188,2025-05-19 10:39:00+05:30
797.65,798.4,797.5,798.15,13540,2025-05-19 10:40:00+05:30
797.95,797.95,797.4,797.4,8502,2025-05-19 10:41:00+05:30
797.35,797.7,797.2,797.3,12079,2025-05-19 10:42:00+05:30
797.3,797.5,797.15,797.25,12026,2025-05-19 10:43:00+05:30
797.15,797.5,797.1,797.2,8026,2025-05-19 10:44:00+05:30
797.15,797.35,796.6,797.0,44323,2025-05-19 10:45:00+05:30
796.6,796.95,796.6,796.65,7669,2025-05-19 10:46:00+05:30
796.6,796.95,796.4,796.5,34222,2025-05-19 10:47:00+05:30
796.45,796.55,796.15,796.55,9468,2025-05-19 10:48:00+05:30
796.4,797.4,796.3,797.05,25538,2025-05-19 10:49:00+05:30
797.05,797.05,796.55,796.85,4734,2025-05-19 10:50:00+05:30
796.9,796.9,796.5,796.75,5856,2025-05-19 10:51:00+05:30
796.8,796.95,796.6,796.75,7043,2025-05-19 10:52:00+05:30
796.75,797.0,796.65,796.95,7156,2025-05-19 10:53:00+05:30
796.85,797.8,796.85,797.75,12961,2025-05-19 10:54:00+05:30
797.75,798.5,797.55,798.35,23258,2025-05-19 10:55:00+05:30
798.35,798.35,797.4,797.4,18361,2025-05-19 10:56:00+05:30
797.4,798.2,797.4,798.0,7335,2025-05-19 10:57:00+05:30
798.0,798.0,797.3,797.5,7185,2025-05-19 10:58:00+05:30
797.65,798.0,797.45,797.7,4873,2025-05-19 10:59:00+05:30
797.65,797.9,797.3,797.45,4895,2025-05-19 11:00:00+05:30
797.45,797.6,797.4,797.6,5206,2025-05-19 11:01:00+05:30
797.4,798.4,797.4,798.1,9910,2025-05-19 11:02:00+05:30
798.15,798.5,798.0,798.1,10121,2025-05-19 11:03:00+05:30
798.1,798.5,798.1,798.35,11168,2025-05-19 11:04:00+05:30
798.5,798.65,798.25,798.6,12232,2025-05-19 11:05:00+05:30
798.55,798.9,798.15,798.65,30022,2025-05-19 11:06:00+05:30
798.8,798.9,798.5,798.5,8661,2025-05-19 11:07:00+05:30
798.6,798.75,798.25,798.7,15116,2025-05-19 11:08:00+05:30
798.7,798.85,798.5,798.8,10055,2025-05-19 11:09:00+05:30
798.6,799.0,798.6,798.7,22971,2025-05-19 11:10:00+05:30
798.9,799.0,798.3,798.35,7152,2025-05-19 11:11:00+05:30
798.55,798.6,798.2,798.3,5133,2025-05-19 11:12:00+05:30
798.5,798.6,798.05,798.45,5833,2025-05-19 11:13:00+05:30
798.25,798.5,798.0,798.3,7901,2025-05-19 11:14:00+05:30
798.0,798.4,798.0,798.3,6382,2025-05-19 11:15:00+05:30
798.3,799.0,798.1,799.0,14937,2025-05-19 11:16:00+05:30
799.0,799.6,798.95,799.6,42294,2025-05-19 11:17:00+05:30
799.55,800.3,799.5,799.9,140397,2025-05-19 11:18:00+05:30
800.15,801.0,799.5,800.9,87801,2025-05-19 11:19:00+05:30
800.8,801.0,800.0,800.05,53542,2025-05-19 11:20:00+05:30
800.35,800.35,798.95,799.15,31144,2025-05-19 11:21:00+05:30
799.3,799.3,798.85,799.0,14825,2025-05-19 11:22:00+05:30
799.0,799.3,799.0,799.15,8356,2025-05-19 11:23:00+05:30
799.1,799.2,798.65,798.95,15146,2025-05-19 11:24:00+05:30
798.7,799.0,798.7,798.9,6796,2025-05-19 11:25:00+05:30
798.9,799.0,798.8,799.0,6849,2025-05-19 11:26:00+05:30
798.95,799.0,798.8,798.9,8473,2025-05-19 11:27:00+05:30
799.0,799.0,798.65,798.75,6946,2025-05-19 11:28:00+05:30
798.55,798.9,798.55,798.9,11341,2025-05-19 11:29:00+05:30
798.8,799.0,798.65,798.9,7081,2025-05-19 11:30:00+05:30
799.0,799.15,798.8,799.0,9339,2025-05-19 11:31:00+05:30
799.0,799.25,798.5,798.7,13629,2025-05-19 11:32:00+05:30
798.5,798.95,798.5,798.95,7212,2025-05-19 11:33:00+05:30
798.85,798.85,798.55,798.6,8920,2025-05-19 11:34:00+05:30
798.55,799.0,798.55,798.9,4658,2025-05-19 11:35:00+05:30
798.95,799.6,798.8,799.5,13048,2025-05-19 11:36:00+05:30
799.45,800.15,799.45,800.1,42539,2025-05-19 11:37:00+05:30
800.1,800.85,800.0,800.35,30740,2025-05-19 11:38:00+05:30
800.35,800.5,799.6,799.95,15606,2025-05-19 11:39:00+05:30
799.95,799.95,799.5,799.5,7726,2025-05-19 11:40:00+05:30
799.65,800.25,799.45,799.95,33550,2025-05-19 11:41:00+05:30
800.0,800.35,799.75,799.95,21207,2025-05-19 11:42:00+05:30
799.95,800.15,799.5,799.65,12643,2025-05-19 11:43:00+05:30
799.55,799.85,798.6,798.95,109673,2025-05-19 11:44:00+05:30
798.85,799.0,798.65,799.0,4136,2025-05-19 11:45:00+05:30
799.0,799.0,798.5,798.85,10864,2025-05-19 11:46:00+05:30
798.5,798.85,798.45,798.8,3369,2025-05-19 11:47:00+05:30
798.8,798.8,798.5,798.75,7966,2025-05-19 11:48:00+05:30
798.8,799.0,798.5,798.5,25215,2025-05-19 11:49:00+05:30
798.5,799.65,798.5,799.0,35580,2025-05-19 11:50:00+05:30
799.05,799.5,798.8,799.2,8011,2025-05-19 11:51:00+05:30
799.4,799.5,798.7,798.95,8287,2025-05-19 11:52:00+05:30
798.95,799.0,798.65,798.65,4689,2025-05-19 11:53:00+05:30
798.7,799.2,798.65,799.05,9585,2025-05-19 11:54:00+05:30
799.2,799.2,798.75,799.05,8626,2025-05-19 11:55:00+05:30
799.05,799.2,798.5,799.15,21333,2025-05-19 11:56:00+05:30
798.95,799.45,798.9,799.4,6608,2025-05-19 11:57:00+05:30
799.25,799.45,799.0,799.15,7990,2025-05-19 11:58:00+05:30
799.1,799.1,798.5,798.5,12902,2025-05-19 11:59:00+05:30
798.5,798.65,798.0,798.15,32245,2025-05-19 12:00:00+05:30
798.0,798.15,797.25,797.7,31442,2025-05-19 12:01:00+05:30
797.75,797.75,797.3,797.55,11284,2025-05-19 12:02:00+05:30
797.5,797.6,797.2,797.2,10958,2025-05-19 12:03:00+05:30
797.3,797.3,797.0,797.0,13570,2025-05-19 12:04:00+05:30
797.15,797.75,797.15,797.6,21786,2025-05-19 12:05:00+05:30
797.6,797.8,797.45,797.45,20310,2025-05-19 12:06:00+05:30
797.45,797.6,797.4,797.6,7441,2025-05-19 12:07:00+05:30
797.4,797.6,797.25,797.6,7209,2025-05-19 12:08:00+05:30
797.5,797.6,797.3,797.3,8765,2025-05-19 12:09:00+05:30
797.45,797.8,797.3,797.6,8791,2025-05-19 12:10:00+05:30
797.6,797.85,797.0,797.0,19566,2025-05-19 12:11:00+05:30
797.05,797.8,797.0,797.5,9604,2025-05-19 12:12:00+05:30
797.5,797.9,797.2,797.6,8400,2025-05-19 12:13:00+05:30
797.85,798.05,797.35,797.7,19028,2025-05-19 12:14:00+05:30
797.65,797.9,797.0,797.05,16615,2025-05-19 12:15:00+05:30
797.4,797.55,797.1,797.55,11429,2025-05-19 12:16:00+05:30
797.4,797.55,797.1,797.2,8967,2025-05-19 12:17:00+05:30
797.35,797.85,797.15,797.55,7343,2025-05-19 12:18:00+05:30
797.85,798.0,797.55,797.95,5742,2025-05-19 12:19:00+05:30
798.0,798.45,798.0,798.25,11333,2025-05-19 12:20:00+05:30
798.45,798.8,798.3,798.45,11554,2025-05-19 12:21:00+05:30
798.55,798.6,798.05,798.05,19812,2025-05-19 12:22:00+05:30
798.05,798.05,797.8,797.8,13659,2025-05-19 12:23:00+05:30
797.8,798.0,797.7,798.0,18319,2025-05-19 12:24:00+05:30
797.85,798.1,797.7,798.1,16295,2025-05-19 12:25:00+05:30
798.05,798.3,798.05,798.3,15642,2025-05-19 12:26:00+05:30
798.3,799.0,798.15,798.9,21174,2025-05-19 12:27:00+05:30
798.9,798.9,798.35,798.5,10819,2025-05-19 12:28:00+05:30
798.5,798.9,798.35,798.6,12919,2025-05-19 12:29:00+05:30
798.8,798.85,798.55,798.6,6146,2025-05-19 12:30:00+05:30
798.65,800.0,798.6,800.0,67902,2025-05-19 12:31:00+05:30
799.85,800.0,799.4,799.4,17821,2025-05-19 12:32:00+05:30
799.6,799.8,799.3,799.7,12447,2025-05-19 12:33:00+05:30
799.7,800.0,799.5,799.85,16278,2025-05-19 12:34:00+05:30
799.5,799.8,799.05,799.05,12634,2025-05-19 12:35:00+05:30
799.05,799.45,798.75,799.05,23582,2025-05-19 12:36:00+05:30
798.95,799.3,798.45,799.2,65568,2025-05-19 12:37:00+05:30
799.3,799.55,799.0,799.25,44654,2025-05-19 12:38:00+05:30
